Strikes,0,1,2,3,4,5,6,7,8,9
0,21.879510222710472,22.184484760745633,22.41399857608029,22.67635274390283,22.912247013759075,23.065555935360816,23.34127036774293,23.612425540054744,23.810183727234282,23.969631589039643
1,18.197915614530583,18.47446155617468,18.673384200145268,19.03722029602371,19.432156121191426,19.639231335005515,19.985746943291375,20.245640531017145,20.46459934396122,20.854480543154708
2,14.666319598074057,15.041547997718256,15.507119272677121,15.915973013809584,16.23428138127982,16.405924511617563,16.880245960268482,17.022829092361885,17.52614373468828,18.010627431061938
3,11.73857319971504,12.212469757369137,12.566015142154553,12.93331453074365,13.318705847284866,13.753014010115582,14.14321253704578,14.532011925447794,14.709940689655413,15.021630698676317
4,9.007919003640296,9.464157402825457,9.983127316989286,10.467293237253651,10.791979963810919,11.044539914729379,11.611227852670483,12.198853480129769,12.311814992259281,12.572123895019088
5,6.879589818470864,7.404187810202371,7.957498069096469,8.147284131945506,8.514948607658228,9.04779579588541,9.524873319429402,9.863780837770172,10.113370652716728,10.702276754193512
6,5.201743119150984,5.548244434424808,5.914141036602808,6.499841961841219,6.922733440260941,7.253522391231701,7.657812348026054,8.055660106990107,8.363255744255204,8.821154390514543
7,3.7601104573605015,4.149009573568258,4.555181379482253,4.971295196521646,5.367878018318173,5.777222528003121,6.182851392633989,6.743097325922678,6.97808011142015,7.155704328909673
8,2.698887837578958,3.017072672450923,3.5166107896784733,3.9008747581697145,4.113640007009501,4.6836741544695695,4.836095614424139,5.228848956523858,5.416377423950234,5.816427464192338
9,1.8976891999656553,2.195202663581421,2.557012734626373,2.954280611350174,3.0947035424315787,3.6250443175650493,3.8041445882236062,4.077340884249113,4.44766218286447,4.794919877947461
