,IMPLIED_VOLAITLITY,IMPLIED_VOLAITLITY,IMPLIED_VOLAITLITY,IMPLIED_VOLAITLITY,IMPLIED_VOLAITLITY_FIT,IMPLIED_VOLAITLITY_FIT,IMPLIED_VOLAITLITY_FIT,IMPLIED_VOLAITLITY_FIT
DURATION,1.24,1.71,2.03,2.5,1.24,1.71,2.03,2.5
MONEYNESS,,,,,,,,
0.8,0.21700366440950328,0.1949159423208615,0.19738101150935905,0.20145752482076057,0.2112038004806679,0.19513663699252315,0.19742526949926803,0.2007748259027089
0.8632,0.21319348087866952,0.19536222540357884,0.19755268310047816,0.19984777717678484,0.21211953339768608,0.19572187448153058,0.19811815265360583,0.20037952997571365
0.9262999999999999,0.21227932270910796,0.19694299170725432,0.19888808729876245,0.19950977971457423,0.21282340956830675,0.19622339446336626,0.19867127013225802,0.19992852403136513
0.9895,0.21189643938100147,0.1978343188036134,0.20078734525967956,0.1991602029424298,0.21331765997880758,0.19664278654177605,0.1990863750809573,0.1994203785738017
1.0526,0.2113528882733878,0.19736165061160776,0.20066489129743517,0.19876410667131383,0.21360072054561105,0.19697872352663845,0.19936215387644832,0.19885670165826883
1.1158,0.2107030648608139,0.19719264630229255,0.19980704403564667,0.19843543868065722,0.2136734884495945,0.19723227019445064,0.19949948061950906,0.1982357066701372
1.1789,0.21018693189209817,0.19699647698999767,0.19849888884714625,0.1978386239978251,0.21353573341258072,0.19740262418233973,0.1994979207318388,0.19755935878341996
1.2421,0.21059674572205284,0.19653865752837155,0.19736763063366433,0.19745489940293917,0.21318701881004679,0.19749032543955425,0.19935746926926107,0.19682551426472017
1.3053,0.21067833529266572,0.1966474200955773,0.19699009016123567,0.19669749201782225,0.21262739609657144,0.19749503833612134,0.199078018736245,0.19603520030554603
1.3684,0.21021765362889858,0.1968852230003255,0.19759111412495786,0.19501994488338634,0.21185825106016454,0.197416952277087,0.1986603410302133,0.19518980135755054
1.4316,0.2099503465304295,0.19699980537178097,0.19786531914001004,0.19340995882951656,0.21087714584017178,0.19725581976305645,0.19810311229155875,0.19428663786780823
1.4947,0.21055494502183206,0.19659580292215872,0.19790641985208463,0.1926156439540804,0.20968718519994767,0.19701215070704883,0.19740809590236577,0.19332856794862838
1.5578999999999998,0.2110566717313498,0.1953781956451198,0.19790772278640822,0.1923927619225849,0.20828459747343755,0.19668517278242065,0.1965730889580727,0.19231255492831786
1.6211000000000002,0.2115074367319354,0.19579772532974787,0.196947698627729,0.19139467597684284,0.20667110163598604,0.19627520649714503,0.19559908294334138,0.191240072467533
1.6842,0.21058734914228197,0.19697446513479172,0.1953297013726146,0.1899853122181369,0.2048497509963687,0.19578309739421393,0.19448794873578693,0.19011295148707494
1.7474,0.20741846233320604,0.197991403260294,0.19397830184916276,0.18885317470836793,0.2028147726523998,0.19520728569834067,0.19323616451541709,0.18892761949572187
1.8105000000000002,0.20146706445334298,0.1969523089266493,0.19238567610356677,0.1879058028991724,0.20057260640896526,0.1945495935984363,0.1918476916247014,0.18768782754407945
1.8737000000000001,0.19677575084701937,0.1938145561275199,0.19009616943348456,0.18720450235264688,0.19811614555847898,0.1938079364919654,0.190318129198693,0.1863896460221582
1.9368,0.19156094051041964,0.1918402690272518,0.1878213427743603,0.18549859312220016,0.19545316371122728,0.19298466139508774,0.1886523176248161,0.1850371830993314
2.0,0.18886120726513034,0.1903566251322958,0.18605992220981893,0.18270853813869325,0.19257522035422361,0.1920771588780192,0.18684497699316924,0.183626152046842
